Sample,dilution,day,p47
106,3 FFU,day1,yes
216,3 FFU,day5,yes
92,3 FFU,day1,yes
200,3 FFU,day5,yes
94,3 FFU,day1,yes
202,3 FFU,day5,yes
96,3 FFU,day1,yes
204,3 FFU,day5,yes
98,3 FFU,day1,yes
206,3 FFU,day5,yes
